vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
84544,VOLKSWAGEN,TOUAREG,TOUAREG DIESEL ESTATE,3.0 V6 TDI 4Motion R Line Tech 5dr Tip Auto,AUTOMATIC,R LINE TECH,4X4 LARGE,ESTATE,DIESEL,TURBO,3.0,FOUR WHEEL DRIVE
89179,MINI,CLUBMAN,CLUBMAN DIESEL ESTATE,2.0 Cooper D Classic 6dr,MANUAL,COOPER CLASSIC,ESTATE SMALL,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
48184,CATERHAM,SUPER SEVENS,SUPER SEVEN ROADSTER,2.0 Superlight SV R400 2dr,MANUAL,SUPERLIGHT SV R400,CONVERTIBLE SMALL,ROADSTER,PETROL,INJECTION,2.0,REAR WHEEL DRIVE
91074,PORSCHE,CAYENNE,CAYENNE COUPE,E-Hybrid Turbo S 5dr Tiptronic S [5 Seat],AUTOMATIC,TURBO S,PRESTIGE COUPE LARGE,ESTATE,PETROL/PLUGIN ELEC HYBRID,TURBO,4.0,FOUR WHEEL DRIVE
88300,FORD,MONDEO,MONDEO DIESEL HATCHBACK,2.0 EcoBlue ST-Line Edition [Lux] 5dr,MANUAL,ST-LINE EDITION,UPPER MEDIUM,HATCHBACK,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
87415,LEXUS,UX,UX HATCHBACK,250h 2.0 5dr CVT [Premium Plus/Tech/Sound],AUTOMATIC,"",PRESTIGE MEDIUM,HATCHBACK,PETROL/ELECTRIC HYBRID,INJECTION,2.0,FRONT WHEEL DRIVE
89151,MINI,CLUBMAN,CLUBMAN ESTATE,1.5 Cooper Classic 6dr [Comfort/Nav+ Pack],MANUAL,COOPER CLASSIC,ESTATE SMALL,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
90767,FORD,PUMA,PUMA HATCHBACK SPECIAL EDITIONS,1.0 EcoBoost Hybrid mHEV Titanium First Ed 5dr,MANUAL,TITANIUM FIRST EDITION,MEDIUM,HATCHBACK,PETROL,TURBO,1.0,FRONT WHEEL DRIVE
87302,FORD,KUGA,KUGA DIESEL ESTATE,2.0 TDCi 180 Titanium X Edition 5dr Auto,AUTOMATIC,TITANIUM X EDITION,4X4 MEDIUM,ESTATE,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
88893,PORSCHE,PANAMERA,PANAMERA HATCHBACK,4.0 V8 Turbo S E-Hybrid [5 seats] 5dr PDK,AUTOMATIC,TURBO S,PRESTIGE PREMIER,HATCHBACK,PETROL/PLUGIN ELEC HYBRID,TURBO,4.0,FOUR WHEEL DRIVE
